horizon_min,model,n_trades,entry_t1_available_rate,mean_entry_markout_immediate,mean_entry_markout_delayed
5,ridge,464521,0.9994040421860679,-0.005815207026898861,-0.0062989466823637486
5,lgbm,309854,0.9992099297321179,-0.005030628759413958,-0.005689782090485096
5,tcn,341419,0.9993531202435312,-0.0055462950840592384,-0.006304009351879358
15,ridge,509566,0.9992548230596965,-0.0030092073138803244,-0.003589178901165724
15,lgbm,395148,0.9990872521232134,-0.002813910599797964,-0.0035368686076253653
15,tcn,425484,0.9992602143264779,-0.0027315185870975256,-0.0034872591495513916
30,ridge,530695,0.9994538452121999,0.00087461102521047,0.000298868166282773
30,lgbm,454294,0.9993708478155661,0.0010196396615356207,0.0003116216685157269
30,tcn,457048,0.9994336408583293,0.002493948908522725,0.0017690369859337807
60,ridge,517450,0.9995460559993046,0.008291410282254219,0.00775516964495182
60,lgbm,460567,0.9994900195745678,0.007279557641595602,0.006633058190345764
60,tcn,468152,0.9995687023063751,0.00938707496970892,0.008748244494199753
