axis,model,regime,n_trades,entry_cost_markout_mean,roundtrip_touch_net_mean,hit_rate
tod,ridge,open (0-60m),38869,-0.002960036,-0.009620999,0.42123544
tod,ridge,midday (60-330m),389385,-0.0032224762,-0.009839128,0.41151303
tod,ridge,close (330m+),81692,-0.00202642,-0.009668661,0.43323705
tod,lgbm,open (0-60m),32468,-0.0034949288,-0.010119913,0.41465443
tod,lgbm,midday (60-330m),294011,-0.0023624236,-0.008797863,0.41002887
tod,lgbm,close (330m+),69030,-0.0044572814,-0.012090338,0.43098652
tod,tcn,open (0-60m),34566,-0.0022016221,-0.008916891,0.42900538
tod,tcn,midday (60-330m),317387,-0.002769413,-0.009489458,0.42423287
tod,tcn,close (330m+),73846,-0.0028471705,-0.010691671,0.44373426
dte_region,ridge,short (1-7),509946,-0.0030108676,-0.009795193,0.4157342
dte_region,lgbm,short (1-7),395509,-0.002821018,-0.009481044,0.41406643
dte_region,tcn,short (1-7),425799,-0.0027368057,-0.0096514765,0.42800242
mny_region,ridge,far-wing (>.025),181524,-0.004555657,-0.010082281,0.32353297
mny_region,ridge,near-wing (.005-.025),328422,-0.002157038,-0.009636515,0.46669528
mny_region,lgbm,far-wing (>.025),152872,-0.0041587856,-0.009675231,0.33198363
mny_region,lgbm,near-wing (.005-.025),242637,-0.0019781652,-0.009358697,0.46578223
mny_region,tcn,far-wing (>.025),155871,-0.0036774802,-0.009289845,0.34953904
mny_region,tcn,near-wing (.005-.025),269928,-0.002193609,-0.009860301,0.4733114
liq_quartile,ridge,0.0,146923,-0.0036265529,-0.012820688,0.47746098
liq_quartile,ridge,1.0,140199,-0.0019008514,-0.00873182,0.46708608
liq_quartile,ridge,2.0,122608,-0.002829127,-0.008120217,0.39587954
liq_quartile,ridge,3.0,100216,-0.0038834596,-0.008896481,0.2776902
liq_quartile,lgbm,0.0,100078,-0.0035213826,-0.012803243,0.47032315
liq_quartile,lgbm,1.0,104775,-0.0015344055,-0.00841911,0.4758387
liq_quartile,lgbm,2.0,98355,-0.0026290992,-0.007927101,0.40993342
liq_quartile,lgbm,3.0,92301,-0.0037266412,-0.008740238,0.28735334
liq_quartile,tcn,0.0,123331,-0.0037443023,-0.013182724,0.47717118
liq_quartile,tcn,1.0,117803,-0.0016417577,-0.00863708,0.47714403
liq_quartile,tcn,2.0,101117,-0.0020668563,-0.0073805023,0.4207601
liq_quartile,tcn,3.0,83548,-0.0036044219,-0.008617588,0.29489633
fold,ridge,0,105853,-0.0030422043,-0.010039833,0.41058826
fold,ridge,1,102601,-0.003764636,-0.009943474,0.4083391
fold,ridge,2,95538,-0.0021423216,-0.008311228,0.41055915
fold,ridge,3,109728,-0.0027877477,-0.010492481,0.42783064
fold,ridge,4,96226,-0.0032894525,-0.010046202,0.42062438
fold,lgbm,0,87463,-0.0028793677,-0.009787831,0.41793674
fold,lgbm,1,69239,-0.003282226,-0.00926527,0.40289432
fold,lgbm,2,67603,-0.0022674778,-0.008107603,0.3895389
fold,lgbm,3,92162,-0.0025151502,-0.010125499,0.43489724
fold,lgbm,4,79042,-0.0031825143,-0.009753831,0.4162597
fold,tcn,0,88476,-0.0011115544,-0.008261233,0.44546545
fold,tcn,1,80292,-0.0020509283,-0.0080551375,0.42075175
fold,tcn,2,82959,-0.0028131434,-0.0090380255,0.39579794
fold,tcn,3,100384,-0.0067675873,-0.01492053,0.42848462
fold,tcn,4,73688,0.000141448,-0.0065728063,0.4505347
