horizon_min,model,theta,n_decisions,n_matched,n_gated,n_unfillable,unfillable_rate
5,ridge,1.0,741221,688678,468506,3708,0.007914519771358318
5,ridge,1.5,741221,688678,380598,2974,0.007814018991166533
5,ridge,2.0,741221,688678,308376,2465,0.00799348846862272
5,lgbm,1.0,741221,688678,313571,3472,0.01107245249082345
5,lgbm,1.5,741221,688678,217831,2773,0.012730052196427507
5,lgbm,2.0,741221,688678,156784,2251,0.01435733238085519
5,tcn,1.0,741221,688678,344786,3146,0.00912450041475002
5,tcn,1.5,741221,688678,243640,2426,0.009957314069939254
5,tcn,2.0,741221,688678,176672,1898,0.010743071907263178
15,ridge,1.0,721475,671146,517882,7936,0.015323954105375355
15,ridge,1.5,721475,671146,449798,6523,0.014502065371566793
15,ridge,2.0,721475,671146,389948,5399,0.013845435801696636
15,lgbm,1.0,721475,671146,403362,7853,0.019468864196429014
15,lgbm,1.5,721475,671146,312014,6453,0.020681764279807956
15,lgbm,2.0,721475,671146,244686,5231,0.021378419688907416
15,tcn,1.0,721475,671146,432796,6997,0.01616697011987172
15,tcn,1.5,721475,671146,344124,5406,0.015709453569062316
15,tcn,2.0,721475,671146,275728,4251,0.015417367840770614
30,ridge,1.0,691678,644590,543251,12266,0.022578881585123636
30,ridge,1.5,691678,644590,493285,10197,0.02067161985464792
30,ridge,2.0,691678,644590,445369,8391,0.018840556931443365
30,lgbm,1.0,691678,644590,466962,12382,0.026516076254598876
30,lgbm,1.5,691678,644590,392745,10435,0.02656940253854282
30,lgbm,2.0,691678,644590,329501,8832,0.026804167513907393
30,tcn,1.0,691678,644590,468118,10811,0.02309460435189418
30,tcn,1.5,691678,644590,392889,8349,0.0212502767957362
30,tcn,2.0,691678,644590,328346,6497,0.01978705390045866
60,ridge,1.0,630908,589900,535600,17915,0.03344846900672143
60,ridge,1.5,630908,589900,508497,15992,0.03144954640833673
60,ridge,2.0,630908,589900,481083,14008,0.02911763666560656
60,lgbm,1.0,630908,589900,478575,17773,0.03713733479600898
60,lgbm,1.5,630908,589900,428953,15755,0.036728965644254735
60,lgbm,2.0,630908,589900,384619,14004,0.03641005774545719
60,tcn,1.0,630908,589900,484095,15741,0.03251634493229635
60,tcn,1.5,630908,589900,437935,13354,0.030493109708061697
60,tcn,2.0,630908,589900,396710,11447,0.028854830984850394
